Time,NumberOrderParent,NumberMarket,TradeSide,OrderSide
2025-06-18 21:19:06,a197847b01a9U3283712985vDpEUOgLz,a197847b01a9U3283712985vDpEUOgLz,Buy,Buy
2025-06-18 21:19:15,a197847b2543U3283712985oBNaP4Fhc,a197847b2543U3283712985oBNaP4Fhc,Sell,Sell
2025-06-18 21:30:39,a19784858ef8U3283712985DhAlQ3RKb,a19784858ef8U3283712985DhAlQ3RKb,Buy,Buy
2025-06-18 21:30:44,a1978485a67eU3283712985B21qgXwIN,a1978485a67eU3283712985B21qgXwIN,Sell,Sell
2025-06-18 23:01:07,a19784d868f1U3283712985yonDTUMBn,a19784d868f1U3283712985yonDTUMBn,Buy,Buy
2025-06-18 23:01:13,a19784d8806aU3283712985E1mUU922t,a19784d8806aU3283712985E1mUU922t,Sell,Sell
2025-06-18 23:06:22,a19784dbc85bU32837129852FzH0Fyrp,a19784dbc85bU32837129852FzH0Fyrp,Buy,Buy
2025-06-18 23:07:09,a19784dddd7eU3283712985Wu8fL9mwA,a19784dddd7eU3283712985Wu8fL9mwA,Sell,Sell
2025-06-18 23:08:11,a19784dbc85bU32837129852FzH0Fyrp,a19784dbc85bU32837129852FzH0Fyrp,Buy,Buy
2025-06-18 23:08:20,a19784d8806aU3283712985E1mUU922t,a19784d8806aU3283712985E1mUU922t,Sell,Sell
2025-06-18 23:08:29,a19784d868f1U3283712985yonDTUMBn,a19784d868f1U3283712985yonDTUMBn,Buy,Buy
2025-06-18 23:08:38,a19784ccdbbfU3283712985bpKycmFLz,a19784ccdbbfU3283712985bpKycmFLz,Sell,Sell
2025-06-18 23:08:47,a19784b434beU3283712985lPNbyV5MB,a19784b434beU3283712985lPNbyV5MB,Buy,Buy
2025-06-18 23:08:57,a1978485a67eU3283712985B21qgXwIN,a1978485a67eU3283712985B21qgXwIN,Sell,Sell
2025-06-18 23:09:05,a19784858ef8U3283712985DhAlQ3RKb,a19784858ef8U3283712985DhAlQ3RKb,Buy,Buy
2025-06-18 23:09:40,a197847b2543U3283712985oBNaP4Fhc,a197847b2543U3283712985oBNaP4Fhc,Sell,Sell
2025-06-19 12:41:45,a19787c7b75cU3283712985N1a5Vrj50,a19787c7b75cU3283712985N1a5Vrj50,Buy,Buy
2025-06-19 12:49:54,a19787cf30d6U3283712985yGTD5AAA4,a19787cf30d6U3283712985yGTD5AAA4,Buy,Buy
2025-06-19 13:05:46,a19787ddb27fU3283712985gp4rMzU7w,a19787ddb27fU3283712985gp4rMzU7w,Buy,Buy
2025-06-19 13:36:40,a19787f4db46U328371298520kV3k4hc,a19787f4db46U328371298520kV3k4hc,Sell,Sell
2025-06-19 13:45:08,a1978801bf37U3283712985MLemYDZMT,a1978801bf37U3283712985MLemYDZMT,Buy,Buy
2025-06-19 13:54:55,a1978805a6b7U3283712985gFK6VRQiG,a1978805a6b7U3283712985gFK6VRQiG,Sell,Sell
2025-06-19 13:56:47,a1978805a6b7U3283712985gFK6VRQiG,a1978805a6b7U3283712985gFK6VRQiG,Sell,Sell
2025-06-19 13:57:49,a1978801bf37U3283712985MLemYDZMT,a1978801bf37U3283712985MLemYDZMT,Buy,Buy
2025-06-19 19:05:52,a19789276222U3283712985Ao6l9HuFd,a19789276222U3283712985Ao6l9HuFd,Buy,Buy
2025-06-19 19:43:03,a19789496a59U3283712985gs1XkleYr,a19789496a59U3283712985gs1XkleYr,Buy,Buy
2025-06-19 19:44:13,a197894a7e4cU3283712985Nbjf9Zc3y,a197894a7e4cU3283712985Nbjf9Zc3y,Buy,Buy
2025-06-19 19:44:47,a197894b053cU3283712985lTGxSrR97,a197894b053cU3283712985lTGxSrR97,Buy,Buy
2025-06-19 20:39:19,a197897cf495U3283712985eE2kjiPFN,a197897cf495U3283712985eE2kjiPFN,Sell,Sell
2025-06-19 20:41:22,a197897ed22eU3283712985r9OPRsV5M,a197897ed22eU3283712985r9OPRsV5M,Buy,Buy
2025-06-19 20:41:28,a197897ee94cU3283712985DJgKFrdAL,a197897ee94cU3283712985DJgKFrdAL,Sell,Sell
2025-06-19 20:46:01,a19789831500U3283712985x8vcu7ZCQ,a19789831500U3283712985x8vcu7ZCQ,Buy,Buy
