TimeStart,TF,Open,High,Low,Close,Volume
2025-05-15 23:01:00,Min1,103048,103580,103048,103580,0.0007
2025-05-15 23:02:00,Min1,103712,104006,103519,103928,0.0056
2025-05-15 23:03:00,Min1,103732,103732,103732,103732,0.0002
2025-05-15 23:04:00,Min1,103030,103897,103030,103897,0.0007
2025-05-15 23:05:00,Min1,103577,103730,103153,103610,0.0034
2025-05-15 23:06:00,Min1,103840,103840,103840,103840,0.0003
2025-05-15 23:07:00,Min1,103523,103887,103522,103840,0.0010
2025-05-15 23:08:00,Min1,103164,103880,103164,103253,0.0007
2025-05-15 23:09:00,Min1,103317,103467,103317,103467,0.0042
2025-05-15 23:10:00,Min1,103598,103886,103360,103360,0.0011
2025-05-15 23:11:00,Min1,103509,103598,103347,103347,0.0014
2025-05-15 23:12:00,Min1,103746,103917,103706,103706,0.0006
2025-05-15 23:13:00,Min1,103715,103715,103715,103715,0.0002
2025-05-15 23:15:00,Min1,103961,103961,102973,103875,0.0048
2025-05-15 23:16:00,Min1,103857,103857,103460,103810,0.0006
2025-05-15 23:17:00,Min1,102893,103403,102893,103403,0.0006
2025-05-15 23:18:00,Min1,103701,103701,103357,103357,0.0010
2025-05-15 23:19:00,Min1,103474,103474,103250,103388,0.0009
2025-05-15 23:20:00,Min1,103052,103684,103052,103333,0.0006
2025-05-15 23:21:00,Min1,103280,103633,103280,103633,0.0024
2025-05-15 23:22:00,Min1,103021,103422,103021,103271,0.0042
2025-05-15 23:23:00,Min1,102853,103802,102853,103802,0.0004
2025-05-15 23:24:00,Min1,103656,103746,102983,103746,0.0026
2025-05-15 23:25:00,Min1,103845,103938,103346,103346,0.0006
2025-05-15 23:26:00,Min1,103374,103502,103333,103502,0.0007
2025-05-15 23:27:00,Min1,103138,103989,103138,103989,0.0028
2025-05-15 23:28:00,Min1,103538,103899,103082,103230,0.0045
2025-05-15 23:29:00,Min1,103849,103969,103636,103636,0.0007
2025-05-15 23:30:00,Min1,103699,103699,103302,103457,0.0007
2025-05-15 23:33:00,Min1,103481,103481,103481,103481,0.0003
2025-05-15 23:35:00,Min1,103652,104231,103652,103986,0.0057
2025-05-15 23:36:00,Min1,103703,103703,103472,103472,0.0006
2025-05-15 23:37:00,Min1,104270,104270,103700,103700,0.0021
2025-05-15 23:38:00,Min1,103836,103836,103836,103836,0.0003
2025-05-15 23:39:00,Min1,103548,103965,103541,103965,0.0006
2025-05-15 23:40:00,Min1,104067,104067,103421,103421,0.0004
2025-05-15 23:41:00,Min1,103367,103367,103367,103367,0.0001
2025-05-15 23:42:00,Min1,104250,104250,103545,103981,0.0010
2025-05-15 23:43:00,Min1,103699,104228,103699,104228,0.0004
2025-05-15 23:44:00,Min1,103816,104212,103550,104212,0.0009
2025-05-15 23:45:00,Min1,103411,104221,103411,103913,0.0044
2025-05-15 23:46:00,Min1,103571,103837,103349,103613,0.0031
2025-05-15 23:47:00,Min1,103891,104030,103521,103521,0.0004
2025-05-15 23:48:00,Min1,103856,103856,103320,103320,0.0024
2025-05-15 23:49:00,Min1,103351,104030,103351,103908,0.0008
2025-05-15 23:50:00,Min1,103317,103317,103300,103300,0.0004
2025-05-15 23:51:00,Min1,103745,103745,103745,103745,0.0004
2025-05-15 23:52:00,Min1,103768,103843,103518,103518,0.0027
2025-05-15 23:54:00,Min1,103974,103974,103243,103243,0.0006
2025-05-15 23:55:00,Min1,103720,103720,103599,103599,0.0015
2025-05-15 23:56:00,Min1,103989,103989,103485,103485,0.0024
2025-05-15 23:57:00,Min1,103869,104197,103314,104197,0.0006
2025-05-15 23:58:00,Min1,104008,104008,104008,104008,0.0001
2025-05-15 23:59:00,Min1,103408,103756,103242,103557,0.0026
2025-05-16 00:00:00,Min1,104033,104033,103560,103560,0.0028
2025-05-16 00:01:00,Min1,103521,104162,103193,103193,0.0014
2025-05-16 00:02:00,Min1,103774,103774,103498,103498,0.0049
2025-05-16 00:03:00,Min1,103608,103608,103608,103608,0.0003
2025-05-16 00:04:00,Min1,104265,104265,103596,103596,0.0003
2025-05-16 00:05:00,Min1,103507,104338,103441,103759,0.0020
2025-05-16 00:06:00,Min1,104294,104294,103555,103555,0.0005
2025-05-16 00:07:00,Min1,103663,103663,103351,103399,0.0004
2025-05-16 00:09:00,Min1,104309,104309,103826,103826,0.0007
2025-05-16 00:10:00,Min1,104022,104027,103441,103587,0.0039
2025-05-16 00:11:00,Min1,104207,104207,103934,103973,0.0007
2025-05-16 00:12:00,Min1,103620,103620,103426,103426,0.0010
2025-05-16 00:13:00,Min1,103470,103876,103322,103322,0.0007
2025-05-16 00:14:00,Min1,103470,104366,103470,103700,0.0028
2025-05-16 00:15:00,Min1,103837,103837,103837,103837,0.0003
2025-05-16 00:16:00,Min1,103553,103807,103553,103807,0.0007
2025-05-16 00:17:00,Min1,103661,104327,103441,103706,0.0015
2025-05-16 00:18:00,Min1,103793,104275,103463,104275,0.0073
2025-05-16 00:19:00,Min1,103393,103484,103393,103484,0.0010
2025-05-16 00:20:00,Min1,103830,104450,103830,104450,0.0004
2025-05-16 00:21:00,Min1,103611,104273,103421,104273,0.0012
2025-05-16 00:22:00,Min1,103439,103439,103439,103439,0.0003
2025-05-16 00:23:00,Min1,103877,104123,103511,104123,0.0010
2025-05-16 00:24:00,Min1,103589,104234,103589,104234,0.0004
2025-05-16 00:25:00,Min1,103888,104085,103581,103581,0.0004
2025-05-16 00:26:00,Min1,103723,104224,103593,104224,0.0070
2025-05-16 00:27:00,Min1,103459,104208,103459,104208,0.0004
2025-05-16 00:29:00,Min1,104265,104265,104265,104265,0.0002
2025-05-16 00:30:00,Min1,103407,104268,103275,103275,0.0041
2025-05-16 00:31:00,Min1,104252,104252,103391,103413,0.0010
2025-05-16 00:32:00,Min1,104203,104289,103666,104289,0.0018
2025-05-16 00:33:00,Min1,104193,104193,104193,104193,0.0001
2025-05-16 00:34:00,Min1,103622,104074,103622,103990,0.0048
2025-05-16 00:35:00,Min1,104131,104131,104131,104131,0.0001
2025-05-16 00:36:00,Min1,103768,104003,103497,103497,0.0006
2025-05-16 00:38:00,Min1,103656,104394,103656,104059,0.0009
2025-05-16 00:39:00,Min1,103425,103425,103425,103425,0.0040
2025-05-16 00:40:00,Min1,103854,104366,103465,104366,0.0026
